Source_Name,Frac_Variability,Unc_Frac_Variability
J0208.5-0046,0.0,10.0
J0208.6+3523,0.06382601,0.9092243
J0209.3+4449,0.3977697,0.1879229
J0209.3-5228,0.3155651,0.08515884
J0209.9+7229,1.2405406,0.30773672
J0210.1+2518,0.0,10.0
J0210.5-1445,0.1956901,0.71035165
J0210.7-5101,0.51290435,0.121626
J0211.1-0646,0.39535296,0.23469758
J0211.2+1051,0.34674737,0.08431856
J0212.2-2559,0.0,10.0
J0212.2-0219,0.47265336,0.29430717
J0212.4-3502,0.2858316,0.16920272
J0212.8-2721,0.26366532,0.23925082
J0212.9+2244,0.51940596,0.16032161
J0213.8-6949,0.52014273,0.2830036
J0214.1-4733,0.0,10.0
J0214.2-7025,0.0333596,0.57038736
J0214.3+5145,0.21454999,0.16863722
J0214.4-5822,1.103764,0.3909312
J0214.6-4333,0.0,10.0
J0214.8-6150,0.0,10.0
J0214.9-3722,0.216637,0.27370042
J0215.3+7555,0.0,10.0
J0215.9+0300,0.41555822,0.20196827
J0216.5+2313,0.0,10.0
J0216.6-1015,0.82140267,0.20820338
J0216.8-6635,0.2829925,0.09955578
J0216.8+0510,0.13905136,0.5736154
J0217.0-0821,0.0,10.0
J0217.2+0837,0.289003,0.07944356
J0217.4+7352,0.31841028,0.09630631
J0217.8+0144,0.5778345,0.13876477
J0218.9-2305,0.9281046,0.26332837
J0218.9+3643,0.7959834,0.20273338
J0219.0+2443,0.2330208,0.22962014
J0219.1-1724,0.50793904,0.221745
J0219.5+0724,0.386378,0.40660775
J0220.2+3246,0.44452557,0.20978798
J0220.8-0841,0.0,10.0
J0221.1+3556,0.97296274,0.2296875
J0221.2-1312,0.20478661,0.57731503
J0221.5+2513,0.5510559,0.26790228
J0221.8+3730,0.5391246,0.34596455
J0222.0-1616,0.6184409,0.18836218
J0222.6+4302,0.41252276,0.09792059
J0223.0-3447,0.0,10.0
J0223.0+6821,0.15223716,0.23807809
J0223.1-1117,0.4719106,0.22586107
J0223.2-1653,0.5792933,0.23637669
J0223.5+5415,0.52410036,0.3840097
J0223.5+3912,0.30701852,0.23558751
J0223.5-0928,0.26237395,0.2939759
J0224.0-7941,0.2748582,0.21041836
J0224.0-1850,0.0,10.0
J0224.2+0700,0.47665513,0.21432766
J0224.2+1616,0.08586481,0.8086497
J0224.9+1843,0.7994644,0.2273749
J0225.1-2604,0.6363652,0.15916365
J0225.6-4502,0.8914669,0.27821866
J0225.8+1310,0.4594086,0.19758485
J0226.3-1845,0.79136634,0.24327706
J0226.5+0938,1.1781776,0.31903994
J0226.5-4441,0.6215558,0.21288633
J0226.6-0553,0.30442718,0.17581189
J0226.7+2312,0.0,10.0
J0227.2+3928,0.660833,0.22101305
J0227.3+0201,0.12257334,0.15198083
J0227.8+2246,1.5433382,0.42550617
J0228.0-3026,1.0613738,0.3183329
J0228.1+8208,0.91337746,0.3036716
J0228.2-3102,0.0,10.0
J0228.3-5547,0.98532426,0.23334335
J0228.5-2234,0.30735573,0.5977201
J0228.7+6718,0.2668403,0.15172671
J0229.5-3644,0.6361142,0.1549539
J0230.8+4032,0.9246657,0.22411346
J0231.2-5754,0.29137933,0.19327791
J0231.2-4745,0.42877668,0.1199168
J0231.8+1322,0.99575824,0.24313262
J0232.5-1118,0.41968456,0.48220968
J0232.8+2018,0.0,10.0
J0232.9+2608,0.0,10.0
J0233.0+3740,0.57944965,0.29020905
J0233.5+0654,0.4204446,0.14358328
J0233.9+8041,0.0,10.0
J0234.3-0628,0.0,10.0
J0235.6-2939,0.26186854,0.36810458
J0236.8-6136,1.331337,0.316616
J0237.1-0714,0.0,10.0
J0237.3+2000,0.0,10.0
J0237.6-3602,0.65332323,0.23237069
J0237.6+0923,0.6351002,0.23508349
J0237.7+0206,0.0,10.0
J0237.8+2848,0.7350037,0.17351635
J0238.1-3905,0.50823647,0.16811766
J0238.2+1531,0.99888885,0.27256873
J0238.4-3116,0.31238773,0.09753973
J0238.6+1637,1.0749112,0.25369182
J0238.7+2555,0.0,10.0
J0239.5+1326,1.8510864,0.55272144
J0239.5-1353,0.44097623,0.29003534
J0239.7+0415,0.8252351,0.20486327
J0240.8-3401,0.0,10.0
J0241.0-0505,0.0,10.0
J0241.3+6543,0.2369307,0.112297334
J0241.9-1603,0.0,10.0
J0242.3+1102,0.8028373,0.20742004
J0242.3+5216,0.5689452,0.15494308
J0242.6+1735,0.5887307,0.21240057
J0242.9+0045,0.0,10.0
J0243.2-0550,0.8066186,0.22943173
J0243.4+7119,0.8405719,0.21165086
J0243.7+0321,0.0,10.0
J0244.6-5819,0.46414638,0.13887474
J0244.7+1316,0.7218207,0.2584384
J0245.1-0257,0.724913,0.21533586
J0245.4-5950,0.2145043,0.33571616
J0245.4+2408,0.9469513,0.2421017
J0245.5-4502,0.22373027,0.3053039
J0245.9-4650,0.68694896,0.16317959
J0246.6-3348,0.0,10.0
J0248.0+2232,0.0,10.0
J0248.6+5131,0.15211129,0.096468695
J0250.2-8224,0.8295255,0.21406378
J0250.6+1712,0.42064273,0.17545803
J0250.6+8435,0.24209534,0.12631492
J0250.7+5630,0.0,10.0
J0251.5-5958,0.72151864,0.23908362
J0252.8-2219,0.56689936,0.1345937
J0252.9+3834,0.43526015,0.20989603
J0253.2-5441,0.8379262,0.20658372
J0253.2-0124,0.0,10.0
J0253.5+3216,1.450909,0.370648
J0253.9+5103,0.6979255,0.17797838
J0255.8+0534,0.6503842,0.34420955
J0256.3+0334,0.36252457,0.14615822
J0257.0+3358,0.0,10.0
J0257.9-1215,0.7020206,0.20768037
J0258.1+2030,0.66182345,0.23606323
J0259.3+5453,0.0,10.0
J0259.4+0308,0.0,10.0
J0259.4+0746,0.6315117,0.15404968
J0259.5+1924,0.0,10.0
J0259.5-1705,0.0,10.0
J0301.0-1652,0.970131,0.40964916
J0301.2+2546,0.0,10.0
J0301.4-3124,0.0,10.0
J0301.6-7155,0.6058521,0.17442624
J0301.9-2731,0.38365996,0.19869344
J0303.2+3149,0.0,10.0
J0303.3-7913,0.47282928,0.17376679
J0303.3+0555,0.0,10.0
J0303.4-2407,0.39570868,0.09543977
J0303.4-5232,0.74832565,0.2039296
J0303.6+4716,0.25403994,0.068469
J0303.6-6211,0.55639154,0.13936175
J0304.4-2833,0.0,10.0
J0304.5+3349,0.9326576,0.28504276
J0304.5+6821,0.34501633,0.09759758
J0304.5-0054,0.55796874,0.3066461
J0304.9-0606,0.55311745,0.26946652
J0305.1-1608,0.47835603,0.21150096
J0307.4+4915,0.13031451,0.07792382
J0307.8-0419,0.13390607,1.4345212
J0308.1-2852,0.47299483,0.32710585
J0308.4+0407,0.43313557,0.13210998
J0309.0+1029,1.100872,0.2636351
J0309.4-4000,0.0,10.0
J0309.7-0745,0.22868693,0.24001831
J0309.9-6058,0.6717188,0.15991427
J0310.6-5017,0.5149183,0.16998574
J0310.8-1041,0.4096874,0.38186002
J0310.9-3458,0.0,10.0
J0310.9+3815,0.36896193,0.1764212
J0311.2+6856,0.40665257,0.34574798
J0311.5-4402,0.4501941,0.39901915
J0311.6+4134,0.53624994,0.6342526
J0312.4-3221,0.22567737,0.74845827
J0312.5-2221,0.2443301,0.17763542
J0312.8+0134,0.8802946,0.23178512
J0312.9+3614,0.20314926,0.24266322
J0312.9+4119,0.54411507,0.21589002
J0313.0+0229,0.78780574,0.3222547
J0314.3+0620,0.0,10.0
J0314.3-5103,0.30544946,0.10385259
J0314.6-6549,0.0,10.0
J0315.4-2643,0.0,10.0
J0315.5+4231,0.47113934,0.57317525
J0315.9-1033,0.7697347,0.19533701
J0316.0-5626,0.13752684,0.98290664
J0316.2-6437,0.17006512,0.12871101
J0316.2+0905,0.36751276,0.10406162
J0316.2-2608,0.12867355,0.14591604
J0316.8+4120,0.61093354,0.33294556
J0316.9-0625,0.28283104,0.5020846
J0317.7-2804,0.0,10.0
J0317.8-4414,0.0,10.0
J0318.7+2135,0.31327572,0.1209221
J0319.4-7045,0.0,10.0
J0319.8+4130,0.47453785,0.11203182
J0319.8+1845,0.7837706,0.230598
J0319.9-3821,0.6499835,0.23696561
J0320.6+1125,0.0,10.0
J0321.3+0425,0.35707086,0.32244447
J0321.3-1612,0.0,10.0
J0322.0+2335,0.15465526,0.07743141
J0322.4+6606,0.8251827,0.2757508
J0322.6-3712e,0.171007,0.1257267
J0322.9+0940,0.0,10.0
J0323.7-0111,0.12475357,0.13093212
J0324.3-1313,0.29595664,0.33155173
J0324.8+3412,0.58296174,0.14333785
J0324.8-2043,0.9211349,0.36825013
J0325.0-2416,0.59982777,0.35657284
J0325.3+3332,0.18607797,0.8862232
J0325.5-5635,0.41367057,0.1319811
J0325.6-1646,0.30915993,0.09790984
J0325.7+2225,0.46409026,0.115211144
J0325.9-1843,0.28770524,0.44578016
J0326.2+0225,0.24445158,0.11880613
J0326.7-3404,0.4481138,0.24121398
J0327.5-1805,0.76868623,0.2054733
J0328.8-5715,0.0,10.0
J0330.6+4659,0.27236232,0.14853762
J0330.6+0438,0.82488525,0.22329326
J0330.7-2408,0.0,10.0
J0331.1-5243,0.37332955,0.27597675
J0331.3-6156,0.33767986,0.10750115
J0331.8-7040,0.0,10.0
J0331.9+6307,0.28205377,0.109115764
J0332.1-1123,0.92967993,0.2990156
J0332.8+1557,0.0,10.0
J0333.1+8227,0.4276777,0.2705884
J0333.3+0233,0.5895647,0.38886485
J0333.7+7851,0.17547463,0.11804735
J0333.7+2916,0.19939099,0.08006101
J0333.8+4007,0.32430872,0.28148833
J0333.9+6537,0.48828584,0.13147134
J0334.2-3725,0.2665032,0.068763345
J0334.2-4008,0.47326562,0.11355718
J0334.3+3920,0.29934815,0.34567657
J0335.1-4459,0.46278557,0.1463129
J0336.4+3224,0.4093684,0.120678835
J0336.5-0348,0.0,10.0
J0336.8-3612,0.15885076,0.16545089
J0337.8-1157,0.19245711,0.46719065
J0338.1-2443,0.0,10.0
J0338.5+1302,0.40394133,0.11357903
J0338.7-5706,0.0,10.0
J0338.9-2848,0.48600927,0.15852132
J0339.2-1736,0.32238168,0.12566535
J0339.5-0146,0.545503,0.1294282
J0340.4-2422,0.0,10.0
J0340.5-2118,0.29493907,0.08907086
J0340.5-0256,0.0,10.0
J0342.2+3858,1.6613201,0.4253652
J0342.8-3007,0.0,10.0
J0343.2-2529,1.117509,0.2734501
J0343.2-6444,0.5324503,0.14009456
J0343.4+3621,0.0,10.0
J0344.2+3203,0.0,10.0
J0344.4+3432,0.33961394,0.5716223
J0345.2-2353,0.1797931,0.06926504
J0345.5-3301,0.0,10.0
J0347.0+4844,0.534166,0.23888771
J0347.7-3616,1.6000447,0.42002422
J0348.2+6035,0.0,10.0
J0348.5-2749,1.8498213,0.4365154
J0348.6-1609,0.37626675,0.117048055
J0348.8-0828,0.0,10.0
J0348.8+4610,0.5612111,0.22987539
J0348.9-4859,0.0,10.0
J0349.4-1159,0.22186902,0.22051947
J0349.6+2410,0.7096928,0.26580104
J0349.8-2103,0.7365426,0.17776224
J0350.0+0640,0.0,10.0
J0350.4-5144,0.3182467,0.36470276
J0350.6-3226,1.7878876,0.4528408
J0350.8-2814,0.0,10.0
J0352.0-2516,0.0,10.0
J0352.9-3623,0.3210334,0.34620175
J0353.0+5654,0.7476791,0.2419294
J0353.0-6831,0.0,10.0
J0353.7+8257,0.12081659,0.9911567
J0354.4+4643,0.70010215,0.1873597
J0354.7-1617,1.279387,0.38404956
J0354.7+8009,2.075896,0.49840447
J0355.1-1841,0.0,10.0
J0355.3+3909,0.0,10.0
J0356.1-1329,0.0,10.0
J0357.0-4955,0.114377916,0.15600765
J0357.2+2320,0.0,10.0
J0357.2-0319,0.19559115,0.6428419
J0357.6-4625,0.4113179,0.24213839
J0358.0-6946,0.0,10.0
J0358.1-5954,0.0,10.0
J0358.6+0634,1.111534,0.32125658
J0358.7+7649,0.0,10.0
J0358.9+6004,1.2069088,0.30847138
J0359.0-3053,0.4408574,0.23695365
J0359.4-0236,0.0,10.0
J0359.4-2616,0.055831775,0.9533994
J0359.6+5057,1.0824254,0.25793737
J0400.7+3920,0.0,10.0
J0401.0-5353,0.094510406,1.6672103
J0401.3+0412,0.23614733,0.34252048
J0401.7+2112,0.9365016,0.23596331
J0401.9-2034,0.8308511,0.20666063
J0402.0-2616,0.44498998,0.1472203
J0402.0+2737,0.28171927,0.54719543
J0402.1-3147,0.26774335,0.14985824
J0402.9+6433,0.0,10.0
J0403.3+2601,0.42802843,0.33628568
J0403.5-2437,0.5557283,0.20262466
J0403.9-3605,0.8698191,0.20529506
J0404.1-1715,0.0,10.0
J0404.3-1559,0.5920733,0.41648245
J0405.6-1308,0.4834715,0.12785073
J0406.0-5407,0.3573852,0.26786318
J0407.0-3826,0.5947912,0.1431912
J0407.5+0741,0.37307858,0.120218806
J0409.4+3201,0.0,10.0
J0409.8-0359,0.51385456,0.1569807
J0410.9+4216,0.6112735,0.17439397
J0411.7+3041,0.0,10.0
J0412.3+0239,0.3714796,0.23590446
J0413.1-5332,1.3605763,0.3320855
J0414.6-0842,0.59669137,0.48190364
J0414.8-5338,0.0,10.0
J0415.2-5741,0.0,10.0
J0416.0-4743,0.7062787,0.39347205
J0416.0-6628,0.12584974,1.0064049
J0416.2-4353,0.8257941,0.27111554
J0416.5-1852,0.7680383,0.19089311
J0416.9+0105,0.36804402,0.1439248
J0418.1-0252,0.74091655,0.1872181
J0418.2+3807,0.3913508,0.11786626
J0418.4+3414,0.0,10.0
J0420.0+0805,0.8720481,0.3327532
J0420.2+4012,0.313708,0.31332937
J0420.3-6016,0.5023561,0.2434667
