Source_Name,SpectrumType,Pivot_Energy,PL_Flux_Density,PL_Index,LP_Flux_Density,LP_Index,LP_beta,SED_class
J2103.4-7816,LogParabola      ,1950.5557,4.1991065e-14,2.367834,8.336934e-14,2.1467738,0.9999703,LSP
J2103.7-1112,LogParabola      ,1340.0331,5.14468e-13,2.136142,7.603368e-13,1.7847602,0.46797243,
J2103.8-6233,LogParabola      ,1231.8632,1.0590037e-12,2.005434,1.1939174e-12,1.8579279,0.10795457,ISP
J2104.0-3546,PowerLaw         ,992.5543,6.7912966e-13,2.3678787,7.1241055e-13,2.3443696,0.033418346,LSP
J2104.3-0212,PowerLaw         ,7777.892,4.256162e-15,1.6621983,5.0489127e-15,1.574591,0.08908203,HSP
J2104.7+0108,PowerLaw         ,2500.269,2.471194e-14,2.111361,3.3317025e-14,1.9076883,0.22570392,ISP
J2105.2-5143,PowerLaw         ,1235.2278,1.1701341e-13,2.4116209,1.17314e-13,2.409009,0.0036524157,
J2106.9+2455,PowerLaw         ,624.9574,6.5816287e-13,2.6201413,,,,LSP
J2107.6-4148,PowerLaw         ,922.2194,3.696661e-13,2.4287343,4.1750053e-13,2.3488338,0.10828404,
J2107.9+6006,PowerLaw         ,985.91254,5.197829e-13,2.6535482,7.5535796e-13,2.7339954,0.2863176,
J2108.0+3655,PowerLaw         ,3773.8074,3.0696955e-14,1.9367057,3.774488e-14,1.7746946,0.15474196,
J2108.2-2454,PowerLaw         ,616.98694,1.845395e-12,2.5824819,1.9484705e-12,2.5468345,0.046257585,
J2108.3-4824,PowerLaw         ,505.32977,1.2592887e-12,2.7905505,1.2881652e-12,2.7826977,0.01812823,LSP
J2108.5+1434,PowerLaw         ,451.9537,4.8762916e-12,2.765415,5.8588347e-12,2.6968873,0.1727791,LSP
J2108.7-0250,PowerLaw         ,2462.0613,5.759058e-14,2.043974,5.5536647e-14,2.0599627,-0.020707643,HSP
J2108.9-6638,PowerLaw         ,1607.784,2.9701152e-13,2.1165648,2.999367e-13,2.111245,0.0062542306,ISP
J2109.6+0440,PowerLaw         ,2048.41,7.276022e-14,2.2485135,7.555471e-14,2.2298868,0.029306648,
J2109.8-8618,PowerLaw         ,6631.9814,6.5823964e-15,1.7617756,7.116534e-15,1.7121123,0.0429587,HSP
J2110.2-1021,PowerLaw         ,745.3656,5.669835e-13,2.5506694,6.9513536e-13,2.4610765,0.16409859,LSP
J2110.3+0808,PowerLaw         ,1049.1078,5.908354e-13,2.396214,6.477823e-13,2.3534296,0.07094866,LSP
J2110.3+0404,PowerLaw         ,3178.7998,2.4520614e-14,2.0744119,2.5949137e-14,2.030385,0.04350698,ISP
J2112.7+0819,PowerLaw         ,3971.9197,3.173027e-14,1.9069424,3.7907723e-14,1.7547842,0.13682897,HSP
J2114.7+3130,PowerLaw         ,1276.3206,3.2927407e-13,2.344908,3.6967337e-13,2.2699115,0.098249726,LSP
J2114.8+2831,PowerLaw         ,713.6991,1.0402476e-12,2.7117903,1.1886953e-12,2.6697237,0.122451,LSP
J2114.8+2026,PowerLaw         ,2989.5164,1.7718784e-14,2.106327,1.8906277e-14,2.0556157,0.04671583,
J2115.2+1218,PowerLaw         ,3190.1274,3.4964927e-14,2.0099163,3.3377404e-14,2.0325344,-0.02367208,ISP
J2115.4+2932,LogParabola      ,839.3679,5.739071e-12,2.3304124,6.397568e-12,2.243468,0.10798415,LSP
J2115.6-4938,PowerLaw         ,2429.8464,4.007746e-14,2.0644326,4.4603678e-14,1.957139,0.087287694,
J2115.8+6753,PowerLaw         ,6088.3706,3.6926325e-15,1.8667502,6.3795375e-15,1.3637874,0.6195781,LSP
J2115.9-0113,PowerLaw         ,1951.9176,9.2081135e-14,2.1069314,1.0680611e-13,1.9985089,0.12743789,LSP
J2116.2+3339,LogParabola      ,1649.2391,1.1099018e-12,1.8997059,1.2450697e-12,1.7467119,0.09836473,ISP
J2116.3+1015,PowerLaw         ,1037.6096,1.8294123e-13,2.4446945,2.0936074e-13,1.0293093,0.9999908,ISP
J2117.4+6159,LogParabola      ,889.6579,5.3957457e-13,2.6022499,1.0382449e-12,2.6025403,0.7735033,
J2117.8-1521,PowerLaw         ,1338.4274,9.301613e-14,2.3880138,9.7866105e-14,2.3515081,0.04162148,LSP
J2117.8-3243,PowerLaw         ,3559.7917,2.2474244e-14,2.029143,2.1455937e-14,2.0497117,-0.026123982,HSP
J2118.0+0019,PowerLaw         ,660.1004,7.604907e-13,2.5723736,1.0114536e-12,2.2461693,0.40655524,LSP
J2118.2+5752,PowerLaw         ,1365.9901,3.0085445e-13,2.516252,3.7241025e-13,2.5046716,0.16009499,
J2118.8-0723,PowerLaw         ,399.61365,2.7138684e-12,2.8200145,3.2181972e-12,2.75792,0.13960332,ISP
J2119.0-3317,LogParabola      ,2200.7783,5.0094538e-14,2.3136077,9.5900664e-14,2.095373,0.9947259,LSP
J2119.4+4652,LogParabola      ,6293.054,6.1723007e-15,2.0489755,1.3205391e-14,1.8286858,0.9574446,
J2119.6-1105,PowerLaw         ,1159.5596,3.738054e-13,2.3651042,4.1071457e-13,2.3193328,0.07744583,LSP
J2120.6-1254,PowerLaw         ,1325.1093,1.8851747e-13,2.3361971,2.0446802e-13,2.311099,0.060076702,
J2120.6-6114,PowerLaw         ,1521.2028,6.778058e-14,2.2919993,8.3032e-14,2.1482735,0.19195399,LSP
J2120.7+4428,PowerLaw         ,1128.0253,2.8757384e-13,2.5607166,3.0139495e-13,2.5396314,0.03379628,LSP
J2121.0+1901,LogParabola      ,878.28613,3.4449147e-12,2.2199636,3.6702546e-12,2.155681,0.05739683,LSP
J2123.6+0535,PowerLaw         ,1027.3341,5.561709e-13,2.389792,5.7459126e-13,2.3815346,0.01996011,LSP
J2123.8-3148,PowerLaw         ,634.45483,7.8414965e-13,2.6022766,1.1844174e-12,2.1998959,0.5233372,
J2126.1-3922,PowerLaw         ,1735.3109,7.813035e-14,2.2304142,7.2655816e-14,2.256153,-0.03846775,
J2126.3-4605,PowerLaw         ,566.90015,5.3516575e-12,2.5543292,5.6165354e-12,2.532166,0.04162718,LSP
J2126.5+1842,PowerLaw         ,3303.022,1.8563915e-14,2.067372,1.744687e-14,2.107309,-0.036108293,
