Source_Name,SpectrumType,Pivot_Energy,PL_Flux_Density,PL_Index,LP_Flux_Density,LP_Index,LP_beta,SED_class
J0958.3-2656,PowerLaw         ,2427.8074,2.2054829e-14,2.11768,2.9899667e-14,1.9983613,0.23786442,ISP
J0959.4+2120,PowerLaw         ,2050.4783,5.7930304e-14,2.1803043,5.6715622e-14,2.1896024,-0.01347196,ISP
J1003.4+0205,PowerLaw         ,2852.862,1.8641716e-14,2.027694,2.078131e-14,1.9649792,0.06586265,ISP
J1006.5+6440,PowerLaw         ,4837.7886,6.2907278e-15,1.8699566,4.5471753e-15,2.08253,-0.1243442,ISP
J1007.0+3455,PowerLaw         ,3709.1895,1.7689294e-14,1.8178864,2.1633689e-14,1.6858858,0.1328481,ISP
J1008.0+0028,PowerLaw         ,1478.2167,1.6586439e-13,2.251705,1.8643015e-13,2.1437435,0.10794947,ISP
J1011.6+3600,PowerLaw         ,1883.1202,4.2836475e-14,2.1507509,5.5511788e-14,2.0722463,0.23045246,ISP
J1012.7+4228,PowerLaw         ,3941.0225,1.9075599e-14,1.8004951,2.0111149e-14,1.7544969,0.03128884,ISP
J1016.5-2650,PowerLaw         ,4894.686,4.0394823e-15,2.0226533,5.582326e-15,1.9729526,0.23994069,ISP
J1017.3+5204,PowerLaw         ,4129.5376,5.8747783e-15,1.8617343,8.336565e-15,1.6524795,0.3244819,ISP
J1017.4+2538,PowerLaw         ,16561.176,5.0996243e-16,1.4397179,9.09264e-16,1.0920116,0.4133952,ISP
J1018.8+5913,PowerLaw         ,2124.217,5.6871e-14,2.0712614,6.531096e-14,1.9691366,0.118884034,ISP
J1021.9+5123,PowerLaw         ,2639.65,1.071018e-14,2.091565,1.5668405e-14,1.3521849,0.64696926,ISP
J1028.3+3108,PowerLaw         ,1827.7504,4.5719068e-14,2.2343707,4.324625e-14,2.2457683,-0.023174975,ISP
J1031.1+7442,PowerLaw         ,2674.2637,7.367792e-14,2.162062,7.0320296e-14,2.1771064,-0.029992668,ISP
J1032.6+3737,PowerLaw         ,2586.1042,7.905199e-14,2.075963,7.839369e-14,2.0863426,-0.0072736847,ISP
J1033.7+3708,PowerLaw         ,1841.4216,1.2770438e-13,2.2647614,1.1378238e-13,2.298041,-0.066491924,ISP
J1036.5+1231,PowerLaw         ,3122.0977,1.2853506e-14,2.0073261,1.6863862e-14,1.5705223,0.37834516,ISP
J1037.7+5711,LogParabola      ,1414.7356,1.5910975e-12,1.8819085,1.7184295e-12,1.7578255,0.071993575,ISP
J1038.5+3926,PowerLaw         ,2408.6914,1.5909117e-14,2.1229517,1.7906437e-14,2.0855634,0.072259344,ISP
J1041.1-1201,PowerLaw         ,2009.8772,4.9447222e-14,2.1688962,4.7663665e-14,2.1930265,-0.02144489,ISP
J1043.6+0654,PowerLaw         ,3601.046,1.0024749e-14,2.0244334,1.0118085e-14,2.0172865,0.0072154533,ISP
